stop_id,stop_code,stop_name,stop_lat,stop_lon
7thAve_N_Washington,,7th & Washington,44.632198,-123.109467
7thSt_W_ApplegateSt,,Main & 7th,44.539403367,-123.377022609
9thAve_S_OakSt,,9th & Oak,44.632942,-123.086815
9thSt_E_BuchananAve,10775,9th & Buchanan [Shelter],44.576787985,-123.261357717
9thSt_E_CircleBlvd,10396,9th & Circle,44.589143349,-123.254578666
9thSt_E_FremontAve,10752,Avery Square,44.571603745,-123.264284324
9thSt_E_GarfieldAve,10417,9th & Garfield [Shelter],44.583324825,-123.257745634
9thSt_E_GrantAve,10438,9th & Grant,44.579791418,-123.259749226
9thSt_E_HayesAve,10429,9th & Hayes,44.581678319,-123.258687287
9thSt_E_JacksonAve,10734,9th & Jackson,44.567205293,-123.266582524
9thSt_E_MadisonAve,10723,9th & Madison [Shelter],44.565183995,-123.267572889
9thSt_E_MaxineAve,10911,9th & Maxine,44.597506575,-123.24993221
9thSt_E_ReimanAve,10768,9th & Reiman [Shelter],44.573180723,-123.263334623
9thSt_E_SequolaAve,10799,9th & Sequoia,44.591419507,-123.253302183
9thSt_E_SpruceAve,10401,9th & Spruce,44.586307216,-123.256087894
9thSt_E_TylerAve,10747,9th & Tyler,44.570360455,-123.264981403
9thSt_E_WalnutBlvd,10365,9th & Walnut,44.594376782,-123.251655647
9thSt_S_MainSt,,9th & Main,44.632504,-123.090736
9thSt_W_BuchananAve,10706,9th & Buchanan,44.575004095,-123.262686968
9thSt_W_CircleBlvd,11004,9th & Circle [Shelter],44.588135014,-123.255402285
9thSt_W_ConiferBlvd,,9th & Conifer [Not Used],44.59655135,-123.250731734
9thSt_W_CornellAve,10354,9th & Cornell [Shelter],44.577100518,-123.26153168
9thSt_W_GarfieldAve,10673,9th & Garfield,44.584553667,-123.257447317
9thSt_W_GrantAve,10349,9th & Grant,44.580085223,-123.259913282
9thSt_W_HayesAve,10673,9th & Hayes [Shelter],44.582048134,-123.258785923
9thSt_W_HemlockAve,10982,9th & Hemlock,44.595016398,-123.251591024
9thSt_W_MaxineAve,10976,9th & Maxine,44.597477652,-123.250193208
9thSt_W_PolkAve,10440,Avery Square,44.570603109,-123.265086974
9thSt_W_ReimanAve,10455,9th & Reiman,44.573312363,-123.263619295
9thSt_W_SequoiaAve,10995,9th & Sequoia [Shelter],44.591033254,-123.253839348
9thSt_W_SpruceAve,11015,9th & Spruce [Shelter],44.58606948,-123.25659798
9thSt_W_StarkerAve,10694,9th & Beca [Shelter],44.578525849,-123.260738749
9thSt_W_VanBurenAve,10710,9th & Harrison,44.56772393,-123.266501942
9thSt_W_WalnutBlvd,10809,9th & Walnut [Shelter],44.593701048,-123.252363386
AdamsAve_N_5thSt,,Adams & 5th [Not Used],44.56195786,-123.264327114
AlbanyAmtrakStation,,Albany Amtrak Station [Shelter],44.630307425,-123.103127925
ApplegateSt_N_20thSt,,Philomath High School,44.539009523,-123.356442526
ApplegateSt_S_11thSt,,Philomath City Library,44.539031608,-123.371058452
ApplegateSt_S_17thSt,,Applegate & 16th,44.538867224,-123.362379043
ApplegateSt_S_20thSt,,Philomath High School,44.538819319,-123.356408698
ArnoldWay_N_26thSt,12412,Monroe & 26th [Shelter],44.569316562,-123.280308125
ArnoldWay_N_ShortAve,12408,Arnold Way & Short,44.570986955,-123.282359359
ArnoldWay_S_ShortAve,12393,Arnold Way & Short,44.570937422,-123.282477883
ArrowoodCir_N_29thSt,13283,Arrowood & 29th,44.5965289,-123.288457016
AspenSt_W_ArrowoodCir,13277,Aspen & Arrowood,44.595558977,-123.293557471
BethelSt_E_BethelPl,11996,Bethel & Bethel Place,44.546384735,-123.259195677
BethelSt_E_BridgewayAve,11977,Bethel & Bridgeway,44.550505925,-123.25855029
BethelSt_E_LillyAve,11983,Bethel & Lilly/Lilly Park [Shelter],44.548043508,-123.258582837
BroadabinSt_E_2ndSt,,2nd / Broadalbin,44.636192,-123.107155
BroadwaySt_W_14thAve,,Broadway & 14th,44.625603,-123.121964
BroadwaySt_W_9thAve,,Broadway & 9th,44.628933,-123.122086
BuchananAve_N_9thSt,12790,Buchanan & 9th/Buchanan Bike Path [Shelter],44.575229455,-123.260561906
BuchananAve_S_9thSt,12788,Buchanan & 9th/Buchanan Bike Path,44.57520507,-123.261286583
CircleBlvd_N_11thSt,11155,Circle & 11th,44.58880177,-123.264558222
CircleBlvd_N_13thSt,11140,Circle & 13th,44.588770386,-123.267538887
CircleBlvd_N_17thSt,11138,Circle & 17th,44.587509987,-123.27276309
CircleBlvd_N_27thSt,11114,Circle & 27th,44.586497039,-123.281553776
CircleBlvd_N_9thSt,11036,Circle & 9th [Shelter],44.588919555,-123.255225309
CircleBlvd_N_BelvueSt,11058,Circle & Belvue,44.589038145,-123.248394466
